feature,gain
delta_adj_em,0.0
delta_adjde,0.0
delta_adjoe,0.0
delta_adjt,0.0
delta_ast_rate,0.0
delta_ast_rate_def,0.0
delta_ast_rate_def_rk,0.0
delta_ast_rate_rk,0.0
delta_barthag,0.0
delta_barthag_rank,0.0
delta_coach_champ_count,0.0
delta_coach_final_four_count,0.0
delta_coach_tourn_appearances,0.0
delta_con_adj_de,0.0
delta_con_adj_oe,0.0
delta_con_de,0.0
delta_con_oe,0.0
delta_con_sos_remain,0.0
delta_conf_win_pct,0.0
delta_consos,0.0
delta_current_loss_streak,0.0
delta_current_win_streak,0.0
delta_days_since_last_game,0.0
delta_de_rank,0.0
delta_depth_score,0.0
delta_dr_pct,0.0
delta_dr_rk,0.0
delta_early_season_win_rate,0.0
delta_early_vs_late_win_delta,0.0
delta_efg_def_rk,0.0
delta_efg_pct,0.0
delta_efg_pct_def,0.0
delta_efg_rk,0.0
delta_elite_noncon_sos,0.0
delta_elite_sos,0.0
delta_fg2_def_rk,0.0
delta_fg2_pct,0.0
delta_fg2_pct_def,0.0
delta_fg2_rk,0.0
delta_fg3_def_rk,0.0
delta_fg3_pct,0.0
delta_fg3_pct_def,0.0
delta_fg3_rate,0.0
delta_fg3_rate_def,0.0
delta_fg3_rate_def_rk,0.0
delta_fg3_rate_rk,0.0
delta_fg3_rk,0.0
delta_ft_def_rk,0.0
delta_ft_pct,0.0
delta_ft_pct_def,0.0
delta_ft_rk,0.0
delta_ftr,0.0
delta_ftr_def,0.0
delta_ftr_def_rk,0.0
delta_ftr_rk,0.0
delta_fun_rank,0.0
delta_games_since_last_loss,0.0
delta_is_bubble_year,0.0
delta_late_season_win_rate,0.0
delta_max_win_streak_season,0.0
delta_ncsos,0.0
delta_oe_rank,0.0
delta_off_efg_vs_def_efg,0.0
delta_off_or_vs_def_or,0.0
delta_off_to_vs_def_to,0.0
delta_opp_barthag_season,0.0
delta_opp_de,0.0
delta_opp_oe,0.0
delta_opp_proj_de,0.0
delta_opp_proj_oe,0.0
delta_or_pct,0.0
delta_or_rk,0.0
delta_pro_con_w,0.0
delta_proj_con_sos,0.0
delta_proj_l,0.0
delta_proj_noncon_sos,0.0
delta_proj_sos,0.0
delta_proj_w,0.0
delta_qual_barthag,0.0
delta_qual_d,0.0
delta_qual_games,0.0
delta_qual_o,0.0
delta_rank,0.0
delta_recency_wtd_win_rate,0.0
delta_roll10_avg_margin,0.0
delta_roll10_def_efg,0.0
delta_roll10_margin_trend,0.0
delta_roll10_off_efg,0.0
delta_roll10_opp_barthag,0.0
delta_roll10_pts_allowed,0.0
delta_roll10_pts_scored,0.0
delta_roll10_q1_win_rate,0.0
delta_roll10_tov_rate,0.0
delta_roll10_win_rate,0.0
delta_roll3_win_rate,0.0
delta_roll5_avg_margin,0.0
delta_roll5_win_rate,0.0
delta_roster_sr_pct,0.0
delta_seed,0.0
delta_sos,0.0
delta_sos_adj_roll10_win_rate,0.0
delta_star_usg_share,0.0
delta_team_bpm_wtd,0.0
delta_team_dbpm_wtd,0.0
delta_team_experience_idx,0.0
delta_team_height_max,0.0
delta_team_height_wtd,0.0
delta_team_obpm_wtd,0.0
delta_timemachine_available,0.0
delta_to_def_rk,0.0
delta_to_pct,0.0
delta_to_pct_def,0.0
delta_to_rk,0.0
delta_top2_usg_share,0.0
delta_wab,0.0
delta_wab_rank,0.0
historical_win_rate,0.0
is_bubble_year,0.0
low_tempo_coin_flip,0.0
midmajor_matchup,0.0
pace_variance_flag,0.0
projected_tempo,0.0
round,0.0
sample_size,0.0
seed_prior_historical_win_rate,0.0
seed_prior_last_5yr_win_rate,0.0
seed_prior_sample_size,0.0
t1_adj_em,0.0
t1_adjde,0.0
t1_adjoe,0.0
t1_adjt,0.0
t1_ast,0.0
t1_ast_rate,0.0
t1_ast_rate_def,0.0
t1_ast_rate_def_rk,0.0
t1_ast_rate_rk,0.0
t1_barthag,0.0
t1_barthag_rank,0.0
t1_blk,0.0
t1_coach_champ_count,0.0
t1_coach_final_four_count,0.0
t1_coach_is_first_tourn,0.0
t1_coach_tourn_appearances,0.0
t1_con_adj_de,0.0
t1_con_adj_oe,0.0
t1_con_de,0.0
t1_con_oe,0.0
t1_con_sos_remain,0.0
t1_conf_game_flag,0.0
t1_conf_win_pct,0.0
t1_consos,0.0
t1_current_loss_streak,0.0
t1_current_win_streak,0.0
t1_days_since_last_game,0.0
t1_de_rank,0.0
t1_depth_score,0.0
t1_dr_pct,0.0
t1_dr_rk,0.0
t1_dreb,0.0
t1_early_season_win_rate,0.0
t1_early_vs_late_win_delta,0.0
t1_efg,0.0
t1_efg_def_rk,0.0
t1_efg_pct,0.0
t1_efg_pct_def,0.0
t1_efg_rk,0.0
t1_efg_s,0.0
t1_elite_noncon_sos,0.0
t1_elite_sos,0.0
t1_fg2_def_rk,0.0
t1_fg2_pct,0.0
t1_fg2_pct_def,0.0
t1_fg2_rk,0.0
t1_fg3_def_rk,0.0
t1_fg3_pct,0.0
t1_fg3_pct_def,0.0
t1_fg3_rate,0.0
t1_fg3_rate_def,0.0
t1_fg3_rate_def_rk,0.0
t1_fg3_rate_rk,0.0
t1_fg3_rk,0.0
t1_fga,0.0
t1_fgm,0.0
t1_ft_def_rk,0.0
t1_ft_pct,0.0
t1_ft_pct_def,0.0
t1_ft_rate,0.0
t1_ft_rk,0.0
t1_fta,0.0
t1_ftm,0.0
t1_ftr,0.0
t1_ftr_def,0.0
t1_ftr_def_rk,0.0
t1_ftr_rk,0.0
t1_fun_rank,0.0
t1_game_num,0.0
t1_games_since_last_loss,0.0
t1_is_bubble_year,0.0
t1_is_early_season,0.0
t1_is_major_conf,0.0
t1_is_tournament_game,0.0
t1_late_season_win_rate,0.0
t1_margin,0.0
t1_margin_s,0.0
t1_max_win_streak_season,0.0
t1_ncsos,0.0
t1_oe_rank,0.0
t1_opp_ast,0.0
t1_opp_barthag_s,0.0
t1_opp_barthag_season,0.0
t1_opp_blk,0.0
t1_opp_de,0.0
t1_opp_dreb,0.0
t1_opp_efg,0.0
t1_opp_efg_s,0.0
t1_opp_fga,0.0
t1_opp_fgm,0.0
t1_opp_ft_rate,0.0
t1_opp_fta,0.0
t1_opp_ftm,0.0
t1_opp_oe,0.0
t1_opp_oreb,0.0
t1_opp_proj_de,0.0
t1_opp_proj_oe,0.0
t1_opp_reb,0.0
t1_opp_stl,0.0
t1_opp_three_fga,0.0
t1_opp_three_fgm,0.0
t1_opp_tov,0.0
t1_opp_tov_rate,0.0
t1_or_pct,0.0
t1_or_rk,0.0
t1_oreb,0.0
t1_pro_con_w,0.0
t1_proj_con_sos,0.0
t1_proj_l,0.0
t1_proj_noncon_sos,0.0
t1_proj_sos,0.0
t1_proj_w,0.0
t1_pts_allowed,0.0
t1_pts_allowed_s,0.0
